dcterms_identifier|dwc_establishmentMeans|dcterms_modified|dwc_organismRemarks|dwc_collectionCode|dwc_catalogNumber|dwc_georeferenceRemarks|dwc_decimalLatitude|dwc_decimalLongitude|geo_alt|dwc_organismName|dwc_organismScope|cameo|notes|suppress
http://bioimages.vanderbilt.edu/ind-baskauf/11017|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06257|-86.80962|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11017||
http://bioimages.vanderbilt.edu/ind-baskauf/11023|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06224|-86.80991|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11025||
http://bioimages.vanderbilt.edu/ind-baskauf/11027|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06172|-86.80943|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11028||
http://bioimages.vanderbilt.edu/ind-baskauf/11029|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06222|-86.80977|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11029||
http://bioimages.vanderbilt.edu/ind-baskauf/11046|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06306|-86.80715|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/25987||
http://bioimages.vanderbilt.edu/ind-baskauf/11048|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06304|-86.80692|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11048||
http://bioimages.vanderbilt.edu/ind-baskauf/11084|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06364|-86.80704|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11084||
http://bioimages.vanderbilt.edu/ind-baskauf/11086|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06293|-86.80878|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11086||
http://bioimages.vanderbilt.edu/ind-baskauf/11097|naturalised|2015-07-31T15:56:37-05:00|Individual represents roadside population.|||Location determined from Google maps.|36.40717|-87.03487|||colony|http://bioimages.vanderbilt.edu/baskauf/11097||
http://bioimages.vanderbilt.edu/ind-baskauf/11111|managed|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.13745|-86.80537|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11111||
http://bioimages.vanderbilt.edu/ind-baskauf/11115|managed|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.13745|-86.80537|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11115||
http://bioimages.vanderbilt.edu/ind-baskauf/11116|managed|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.13745|-86.80537|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11116||
