ubioID|dcterms_identifier|dwc_kingdom|dwc_class|dwc_order|dwc_family|dwc_genus|dwc_specificEpithet|dwc_infraspecificEpithet|dwc_taxonRank|dwc_scientificNameAuthorship|dwc_vernacularName|dcterms_modified
475017|504187|Plantae|Magnoliopsida|Fabales|Fabaceae|Pediomelum|subacaule||species|(Torr. & A. Gray) Rydb.|whiterim scurfpea|2015-09-21T18:09:43-05:00
475026|504196|Plantae|Magnoliopsida|Caryophyllales|Cactaceae|Peniocereus|greggii||species|(Engelm.) Britton & Rose|nightblooming cereus|2015-09-21T18:09:43-05:00
460388|33815|Plantae|Magnoliopsida|Scrophulariales|Scrophulariaceae|Penstemon|arkansanus||species|Pennell|Arkansas beardtongue|2015-09-21T18:09:43-05:00
460411|33845|Plantae|Magnoliopsida|Scrophulariales|Scrophulariaceae|Penstemon|calycosus||species|Small|longsepal beardtongue|2015-09-21T18:09:43-05:00
460350|33767|Plantae|Magnoliopsida|Scrophulariales|Scrophulariaceae|Penstemon|smallii||species|A. Heller|Small's beardtongue|2015-09-21T18:09:43-05:00
460360|33780|Plantae|Magnoliopsida|Scrophulariales|Scrophulariaceae|Penstemon|tenuiflorus||species|Pennell|eastern whiteflower beardtongue|2015-09-21T18:09:43-05:00
475070|504241|Plantae|Magnoliopsida|Rosales|Crassulaceae|Penthorum|sedoides||species|L.|ditch stonecrop|2015-09-21T18:09:43-05:00
459460|32634|Plantae|Magnoliopsida|Lamiales|Lamiaceae|Perilla|frutescens||species|(L.) Britton|beefsteakplant|2015-09-21T18:09:43-05:00
475093|504264|Plantae|Magnoliopsida|Caryophyllales|Caryophyllaceae|Petrorhagia|prolifera||species|(L.) P.W. Ball & Heywood|childing pink|2015-09-21T18:09:43-05:00
458506|31459|Plantae|Magnoliopsida|Solanales|Hydrophyllaceae|Phacelia|bipinnatifida||species|Michx.|fernleaf phacelia|2015-09-21T18:09:43-05:00
484671|531153|Plantae|Magnoliopsida|Solanales|Hydrophyllaceae|Phacelia|dubia|interior|variety|(L.) Trel.|interior phacelia|2015-09-21T18:09:43-05:00
475108|504279|Plantae|Magnoliopsida|Solanales|Hydrophyllaceae|Phacelia|purshii||species|Buckley|Miami mist|2015-09-21T18:09:43-05:00
475120|504291|Plantae|Magnoliopsida|Fabales|Fabaceae|Phaseolus|polystachios||species|(L.) Britton, Sterns & Poggenb.|thicket bean|2015-09-21T18:09:43-05:00
475125|504296|Plantae|Filicopsida|Polypodiales|Thelypteridaceae|Phegopteris|hexagonoptera||species|(Michx.) Fée|broad beechfern|2015-09-21T18:09:43-05:00
452676|24429|Plantae|Magnoliopsida|Rosales|Hydrangeaceae|Philadelphus|inodorus||species|L.|scentless mock orange|2015-09-21T18:09:43-05:00
465966|41062|Plantae|Liliopsida|Cyperales|Poaceae|Phleum|pratense||species|L.|timothy|2015-09-21T18:09:43-05:00
458025|30910|Plantae|Magnoliopsida|Solanales|Polemoniaceae|Phlox|amoena||species|Sims|hairy phlox|2015-09-21T18:09:43-05:00
458032|30918|Plantae|Magnoliopsida|Solanales|Polemoniaceae|Phlox|bifida||species|Beck|cleft phlox|2015-09-21T18:09:43-05:00
458048|30934|Plantae|Magnoliopsida|Solanales|Polemoniaceae|Phlox|divaricata||species|L.|wild blue phlox|2015-09-21T18:09:43-05:00
